,行业广度,行业换手
002289.OF,6.583333333333333,3.073040631292
006557.OF,6.916666666666667,2.446552557657005
210007.OF,6.916666666666667,2.334066341503372
000574.OF,7.583333333333333,1.408143973586125
012981.OF,1.0,0.09483432805103913
001716.OF,5.75,2.636223655512105
013916.OF,8.0,1.006678406274838
630010.OF,5.0,1.753079577633997
006977.OF,6.25,1.462836076983861
004046.OF,6.363636363636363,3.397572939672969
013085.OF,5.0,1.618299205631694
010730.OF,6.375,1.868487061793251
006111.OF,5.25,0.4889610854119813
012155.OF,5.4,1.563384269416476
014825.OF,7.0,2.356525458045268
410009.OF,6.166666666666667,2.645365907070735
009414.OF,2.9,0.9610511771975666
080001.OF,7.5,2.757852256735166
011703.OF,4.666666666666667,2.176308764875223
001797.OF,6.25,2.832312635517594
020026.OF,5.916666666666667,2.404374146643293
013797.OF,7.0,1.558833733059285
008860.OF,6.818181818181818,0.8604646726094636
002282.OF,6.416666666666667,1.419866466729774
005848.OF,6.416666666666667,2.208998429148247
010777.OF,3.428571428571428,0.5533948551936787
900003.OF,4.75,1.152423647453803
008978.OF,4.818181818181818,1.089890341069139
010088.OF,5.75,0.9767277044377676
009138.OF,6.2,0.6860497081701409
001830.OF,7.166666666666667,2.653661953920345
001156.OF,4.083333333333333,0.907999104713952
002118.OF,7.25,2.848887584131273
009240.OF,4.777777777777778,0.3566750612650543
005295.OF,6.083333333333333,1.876889693766948
010110.OF,1.0,0.1227043431437971
001725.OF,6.416666666666667,1.950320882041727
009511.OF,4.6,1.924204220974696
013661.OF,4.0,1.548747503236739
008901.OF,4.818181818181818,0.68457493317699
519185.OF,2.916666666666667,0.7851317534030707
013847.OF,6.666666666666667,2.738253088476487
004693.OF,7.333333333333333,1.475350059996195
006202.OF,5.083333333333333,1.544593747198435
001974.OF,6.583333333333333,2.033627818515007
000928.OF,7.166666666666667,2.002058525256817
110029.OF,6.25,1.54066858447352
004505.OF,6.333333333333333,1.723046896649084
005888.OF,3.75,1.036996993643592
014131.OF,5.0,1.187967333681624
012342.OF,4.0,0.4294987474529509
510081.OF,7.333333333333333,2.269474187163415
002288.OF,6.916666666666667,3.43075959406931
002952.OF,6.916666666666667,3.457126742825117
013037.OF,1.0,0.0
000763.OF,8.166666666666666,1.784230194914212
001329.OF,8.083333333333334,1.980532361045189
001975.OF,6.5,1.094372814439641
014210.OF,4.75,1.934243966248273
014838.OF,6.666666666666667,0.9526358008928657
161609.OF,6.666666666666667,2.29044838738945
000072.OF,6.166666666666667,3.16099241709474
001427.OF,7.5,2.632767072339221
519979.OF,4.25,1.726405892180766
000742.OF,5.416666666666667,1.996797469104345
080008.OF,5.25,1.437076284745066
007261.OF,5.166666666666667,1.267709521902637
005904.OF,6.833333333333333,3.523263563303416
002125.OF,4.5,1.439084664001179
001905.OF,5.666666666666667,3.664852785017639
005136.OF,6.583333333333333,2.535547630849402
010350.OF,4.857142857142857,0.5156329428691828
010313.OF,5.375,2.955161481675717
900009.OF,5.777777777777778,1.947874433392571
550001.OF,6.916666666666667,2.239488506218138
010795.OF,6.285714285714286,1.685846799850193
001980.OF,6.416666666666667,3.748211201649232
013659.OF,2.4,0.8470366360238918
217005.OF,6.166666666666667,2.091728006400283
011637.OF,5.666666666666667,0.9455902373094353
014600.OF,5.666666666666667,1.369290167798713
009491.OF,4.888888888888889,0.7393271799678998
450003.OF,7.666666666666667,0.894549373989289
002585.OF,5.909090909090909,2.616754407085581
000541.OF,6.083333333333333,2.469172878940895
006736.OF,4.25,0.9472830158362493
010815.OF,4.285714285714286,0.9476439185351772
009686.OF,6.8,2.317309110390843
014734.OF,3.0,0.9089981924965453
001468.OF,7.833333333333333,3.01385043808379
005609.OF,2.333333333333333,0.3751792317843055
012130.OF,5.8,0.9275406063258853
014820.OF,1.0,0.0
012557.OF,4.8,0.9741954051858401
002518.OF,6.75,2.225629372880147
920002.OF,7.222222222222222,1.097660803590681
006354.OF,6.111111111111111,2.727227436848208
000800.OF,6.333333333333333,2.280977629315055
005634.OF,5.333333333333333,1.482495095024692
014919.OF,5.333333333333333,0.90195236436746
519089.OF,7.416666666666667,1.800404863519557
530006.OF,7.833333333333333,0.5829741792638917
001371.OF,3.25,0.7063736807933432
012312.OF,3.4,0.7795643467747377
240010.OF,6.0,1.837449679093958
001933.OF,5.083333333333333,1.577354391018061
002419.OF,4.416666666666667,1.675653196997051
010151.OF,4.111111111111111,1.444467039864168
000870.OF,4.25,0.9750961317532506
011282.OF,4.714285714285714,0.5714007219556793
010550.OF,5.75,2.010089852382324
009896.OF,1.333333333333333,0.286243864921114
009681.OF,5.7,2.010809312181153
009740.OF,6.7,1.724232689021782
519095.OF,6.083333333333333,1.502793346268507
580008.OF,6.166666666666667,1.25966858396574
001030.OF,4.583333333333333,0.93021397049991
011138.OF,7.285714285714286,0.928356118187177
910009.OF,5.142857142857143,1.595646877208758
004942.OF,5.25,0.3877749205239617
001229.OF,5.166666666666667,1.764661179527754
002456.OF,6.916666666666667,2.257884946653098
501002.OF,5.916666666666667,2.974799419061453
008919.OF,5.818181818181818,1.863711750784231
010427.OF,6.375,2.315452420803473
012506.OF,5.166666666666667,1.209917097798173
013141.OF,6.2,2.444340079078512
002495.OF,5.833333333333333,2.64152978565358
233007.OF,4.0,0.7457610408428715
000612.OF,6.833333333333333,1.919079415015719
011450.OF,4.857142857142857,2.151550040336355
006477.OF,1.0,0.1675987651750619
004536.OF,6.25,2.648374779736506
012188.OF,4.5,1.266963499881415
002537.OF,6.166666666666667,1.691414503823335
005810.OF,6.583333333333333,0.7510278288356321
004794.OF,6.454545454545454,3.393731957191214
004848.OF,7.166666666666667,1.904383621441049
690011.OF,6.416666666666667,1.464492033947659
970041.OF,6.6,3.752499543035647
007130.OF,7.833333333333333,2.307993514040738
008099.OF,3.6,0.7940309054349858
002662.OF,4.0,1.49445525678924
008188.OF,5.454545454545454,1.684802798948577
121003.OF,6.333333333333333,2.536080697359121
001227.OF,5.5,1.384022278329863
011862.OF,7.2,1.245216754842795
850006.OF,6.166666666666667,1.877730056042601
011287.OF,5.142857142857143,2.141706128344736
008884.OF,2.2,1.173503300773385
070019.OF,8.583333333333334,0.9753148510166613
007340.OF,4.583333333333333,1.640414822886051
519652.OF,7.416666666666667,2.256073872089344
350001.OF,6.666666666666667,3.372444474909058
009940.OF,5.222222222222222,0.4647255081106617
070017.OF,7.75,1.476203547579785
010723.OF,6.75,1.306727368386361
010418.OF,4.625,1.615311951876544
007207.OF,4.083333333333333,1.129632470279469
009794.OF,6.333333333333333,1.990532346623073
001694.OF,6.083333333333333,1.938656066416091
233001.OF,4.916666666666667,1.500457560484193
000458.OF,5.583333333333333,2.524943983548521
008373.OF,6.833333333333333,2.508380051673763
000326.OF,7.25,1.612707184691738
005169.OF,7.583333333333333,2.385648459204896
004707.OF,6.666666666666667,1.457453365228183
008734.OF,6.333333333333333,1.804726887449434
000690.OF,3.166666666666667,0.9316289525770838
010570.OF,4.625,1.289689190279022
008077.OF,7.5,2.087790611009689
001832.OF,4.583333333333333,0.990653282020494
010413.OF,6.625,0.7507646829666803
011273.OF,4.571428571428571,1.304270046775896
001609.OF,6.666666666666667,2.364994375251259
011980.OF,8.25,1.751142007666093
202027.OF,4.5,1.622516558932857
013693.OF,5.333333333333333,1.002435935248741
012473.OF,7.0,1.594048128767043
004374.OF,6.916666666666667,3.181209044867374
002376.OF,6.083333333333333,1.984739249933954
014526.OF,4.75,1.812161022378687
001541.OF,5.583333333333333,2.138654394648104
000029.OF,6.833333333333333,3.837711313547645
007126.OF,7.0,2.341096497243611
002229.OF,5.833333333333333,1.370045236884466
012064.OF,7.8,1.227247103271667
008854.OF,7.0,1.228515952688126
519066.OF,6.166666666666667,1.096184479327236
400007.OF,5.666666666666667,1.930406037803911
015102.OF,4.333333333333333,1.151810355207032
006533.OF,5.916666666666667,1.711817210653536
540006.OF,8.083333333333334,1.548442081429495
290006.OF,6.916666666666667,1.880559833707499
010303.OF,5.25,1.166123695966403
400020.OF,7.25,2.411998793875131
001047.OF,6.083333333333333,1.796886355620998
006720.OF,5.916666666666667,1.421124268558186
100020.OF,6.666666666666667,0.8401362118782875
012669.OF,5.333333333333333,1.580910433609106
001135.OF,4.75,3.145213152415582
010654.OF,1.625,0.3421847317604746
011905.OF,4.5,0.6615349919582826
100029.OF,5.166666666666667,1.827713358743613
006923.OF,1.222222222222222,0.3552134668749147
002666.OF,5.083333333333333,2.081106289621163
008878.OF,7.0,1.890910367198494
009162.OF,1.0,0.07053016542291447
010779.OF,6.0,3.201712175934029
003754.OF,6.833333333333333,3.008188999312671
011917.OF,2.833333333333333,0.3452639602469516
001605.OF,3.5,1.156925193620492
004456.OF,5.25,2.556740252428881
006976.OF,8.583333333333334,1.627857978705868
008903.OF,6.166666666666667,0.8120948990178946
014574.OF,3.75,1.192133420630224
003717.OF,8.083333333333334,3.152438143015824
013367.OF,6.666666666666667,2.119431219555093
002934.OF,6.0,2.479035172291598
000652.OF,7.166666666666667,1.531748398359081
015391.OF,3.0,1.216283156916071
002168.OF,4.416666666666667,1.087338580388295
004390.OF,6.0,1.847005963892532
112002.OF,4.166666666666667,1.513075442330364
006648.OF,6.0,1.277607259120809
009317.OF,4.2,2.129543908691912
001897.OF,6.5,3.439609334473145
012888.OF,1.0,0.05239775196539673
010949.OF,4.666666666666667,0.3423357496218387
001753.OF,5.5,2.593914539839395
450007.OF,7.083333333333333,2.503169525052706
008467.OF,6.416666666666667,0.8836053598270271
014157.OF,1.0,0.0843719708297952
006265.OF,4.333333333333333,1.658603368408553
000591.OF,5.583333333333333,2.266751024323707
014179.OF,6.0,0.9078247209691324
002222.OF,7.666666666666667,2.642188717214975
001534.OF,5.75,1.476102170243506
009312.OF,6.7,1.328103762899747
005081.OF,7.666666666666667,1.462895932518379
003850.OF,6.833333333333333,3.438788866451689
257020.OF,6.833333333333333,1.777853962487159
008261.OF,5.363636363636363,3.306658801600126
011834.OF,6.833333333333333,1.351949539261254
009968.OF,5.222222222222222,2.049692107641027
008328.OF,5.818181818181818,0.869341888435801
002577.OF,5.916666666666667,1.955448820698316
002837.OF,7.0,1.296030397770028
003025.OF,7.25,2.411331217764733
009210.OF,6.4,1.432611022343292
002863.OF,4.583333333333333,1.713374631417357
519692.OF,7.083333333333333,0.8228603199206602
000173.OF,6.666666666666667,1.406384655346041
010116.OF,4.666666666666667,1.364474929545782
002772.OF,4.25,1.789143614841592
010455.OF,7.0,1.485046325016902
009360.OF,2.7,0.7437731029085712
008244.OF,6.083333333333333,2.362171080275396
004075.OF,1.0,0.0
013960.OF,5.75,1.640474609514893
009918.OF,7.111111111111111,3.384629085913627
001659.OF,4.833333333333333,1.988755022733626
013958.OF,4.0,0.5449196319187937
110022.OF,3.916666666666667,0.3831766504013662
010429.OF,6.75,1.199590704691207
014651.OF,3.75,1.425469049887229
001660.OF,6.083333333333333,1.147694618377122
009507.OF,3.8,1.524799979717554
010163.OF,6.0,0.4426781571467729
005660.OF,5.583333333333333,1.816539282486332
162211.OF,6.75,2.750717898203946
288001.OF,6.25,2.115320879650997
110002.OF,4.333333333333333,1.56037342630202
007355.OF,5.166666666666667,1.168361432499452
011357.OF,5.571428571428571,2.242082016182966
001613.OF,5.833333333333333,2.222827425245235
011601.OF,1.285714285714286,0.3693534788348454
004249.OF,4.333333333333333,0.6606775370141691
001518.OF,3.166666666666667,1.469391953611003
200016.OF,4.666666666666667,2.052728399056467
005949.OF,6.666666666666667,2.181412551435588
006818.OF,5.833333333333333,1.752959766871145
007533.OF,4.833333333333333,0.9676752631454649
070099.OF,4.416666666666667,0.7031209893318654
012221.OF,4.0,0.3838161034015488
000904.OF,5.416666666666667,0.9044431591216489
620007.OF,6.583333333333333,2.877842378360072
012696.OF,3.666666666666667,1.718987375843834
010994.OF,4.75,1.776237755455565
001825.OF,7.083333333333333,3.062778379709826
000251.OF,4.5,0.4332149425102257
920011.OF,6.363636363636363,2.665321756029011
006769.OF,6.5,2.139972303844511
008966.OF,5.545454545454546,1.311291471217395
002244.OF,6.75,1.705504845173185
013836.OF,4.5,1.268975427195985
012526.OF,5.8,1.306443412750941
004845.OF,6.0,2.135370996680515
009486.OF,4.7,2.314237458276535
010403.OF,6.625,2.791670102547072
005541.OF,4.083333333333333,1.3798996203348
340007.OF,6.916666666666667,1.126782100441158
004836.OF,3.333333333333333,2.333526027617979
001866.OF,6.166666666666667,2.967803062678861
001228.OF,6.666666666666667,1.445177847362223
002334.OF,6.666666666666667,3.101110152448926
000985.OF,5.416666666666667,1.986882236324596
398001.OF,6.583333333333333,2.348163912052455
002919.OF,1.5,0.1628774675216836
002152.OF,7.333333333333333,1.413475133313265
000976.OF,7.5,1.276142714330117
005262.OF,6.833333333333333,1.406807937795472
163803.OF,6.333333333333333,1.216905080123167
180028.OF,3.833333333333333,1.332217382254643
010016.OF,3.777777777777778,0.8458005583375802
003684.OF,4.0,2.180547113579104
012288.OF,2.333333333333333,0.4655601026849512
519678.OF,3.166666666666667,0.9452016218712395
003831.OF,7.727272727272728,2.523441076584563
010761.OF,2.375,0.4558965175366962
009114.OF,6.444444444444445,2.417182460935829
519679.OF,6.0,1.346484022605567
257030.OF,7.166666666666667,0.7245080677345682
000747.OF,8.333333333333334,1.062496566988147
710002.OF,6.333333333333333,2.657645018537048
012148.OF,4.666666666666667,1.016547505219213
121002.OF,8.083333333333334,2.664971758562757
001152.OF,6.333333333333333,2.054722236473299
001682.OF,6.083333333333333,2.064892338281344
011901.OF,5.666666666666667,0.5776197594674883
014756.OF,3.75,0.4881105875377474
007163.OF,4.083333333333333,1.252410815172111
519773.OF,7.333333333333333,1.785491511389025
003432.OF,5.166666666666667,0.6927418204312836
550002.OF,7.333333333333333,1.473779049384191
011260.OF,4.142857142857143,1.501643355033062
010483.OF,5.625,0.9864197131463807
009557.OF,5.2,1.367171030637985
015710.OF,1.5,0.244309559939302
002808.OF,7.583333333333333,1.76690060198672
005450.OF,4.833333333333333,0.9156195184835525
000924.OF,6.833333333333333,1.565493181095892
540008.OF,5.75,0.8765422257438288
005259.OF,6.25,1.798253247693167
005851.OF,4.333333333333333,1.850999604489529
002142.OF,7.583333333333333,1.609713522695284
001056.OF,4.333333333333333,1.916795683063512
003232.OF,4.25,1.616897292842858
005395.OF,6.833333333333333,0.7049271516584471
001382.OF,4.0,0.7866755508856841
002649.OF,7.583333333333333,1.126667891602687
011122.OF,5.666666666666667,1.045052437190789
009596.OF,5.888888888888889,1.723965150906491
014807.OF,4.0,0.84016729429075
001614.OF,4.5,2.872208420019067
001140.OF,4.0,1.25949996752398
001265.OF,6.833333333333333,2.428896609643131
270022.OF,5.333333333333333,1.452777823464035
015373.OF,4.0,0.5199099475148065
009570.OF,4.1,0.5718807539880808
000061.OF,6.5,2.155163373132985
001782.OF,6.916666666666667,1.298531740948879
970009.OF,7.222222222222222,2.791075522436481
009954.OF,4.0,1.86824193590967
011338.OF,6.428571428571429,1.757044530659665
006266.OF,6.666666666666667,1.437989092754622
015139.OF,1.0,0.1427879153301164
014121.OF,1.5,0.231612153411921
011886.OF,6.666666666666667,2.01580235053697
004403.OF,5.416666666666667,1.326673729648631
420005.OF,6.166666666666667,1.268614885485386
009026.OF,7.090909090909091,1.833455435460625
012358.OF,1.666666666666667,0.4290420048994858
000550.OF,3.5,1.38322123745288
006179.OF,4.916666666666667,0.7044666410539256
010176.OF,2.0,0.6590537410572018
000411.OF,6.416666666666667,1.75110074795323
001150.OF,6.0,1.600403003868513
001570.OF,6.333333333333333,1.15015998733565
050001.OF,7.833333333333333,2.168070612689081
008866.OF,7.454545454545454,1.793143516389402
014556.OF,9.0,2.150323056470449
200008.OF,4.083333333333333,0.6182600105532557
004703.OF,7.166666666666667,2.244716453267966
014805.OF,6.333333333333333,2.916586554327644
004357.OF,7.25,0.9199684996365093
008811.OF,6.0,1.8411042976263
004206.OF,5.083333333333333,2.229118625785625
011503.OF,6.285714285714286,1.679095115949695
014144.OF,4.0,0.6162922847886344
013886.OF,5.25,0.8173167607698923
014773.OF,6.333333333333333,1.835850653406085
001508.OF,6.333333333333333,1.985279302379811
001657.OF,5.666666666666667,2.663947266517818
011349.OF,6.2,1.653083366805082
012704.OF,7.25,1.90346851176644
007639.OF,5.916666666666667,1.841856354689871
004284.OF,6.416666666666667,3.234767530130094
013132.OF,3.2,0.36649615862928
001938.OF,7.166666666666667,1.610899260490243
360001.OF,7.5,2.916494489404587
